country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1580417,10531,96272,386815,1097330,17518,805,0
Europe,1716908,20587,158656,720980,837272,12798,1283,0
South America,365135,9844,19469,128827,216839,10293,444,0
Asia,738666,17783,23571,415811,299284,4952,312,0
Africa,75261,1288,2537,26671,46053,258,30,0
Oceania,8590,9,119,7810,661,21,0,0
0,721,0,15,651,55,4,0,0
World,4485698,60042,300639,1687565,2497494,45844,2874,0
USA,1438426,8078,85699,311693,1041034,16337,502,10368708
Spain,272646,1551,27321,186480,58845,1376,217,2467761
Russia,252245,9974,2305,53530,196410,2300,93,6188102
UK,233151,3446,33614,0,199193,1559,428,2219281
Italy,223096,992,31368,115288,76440,855,262,2807504
Brazil,196158,7001,13551,78424,104183,8318,393,735224
France,178060,0,27074,58673,92313,2428,0,1384633
Germany,174478,380,7884,150300,16294,1465,23,3147771
Turkey,144749,1635,4007,104030,36712,963,55,1508824
Iran,114533,1808,6854,90539,17140,2758,71,643772
India,81990,3935,2649,27956,51385,0,98,1947041
Peru,76306,0,2169,24324,49813,806,0,553302
Canada,72278,0,5302,35164,31812,502,0,1169380
Belgium,54288,307,8903,14111,31274,407,60,623628
Saudi Arabia,46869,2039,283,19051,27535,156,10,513587
Netherlands,43481,270,5590,0,37641,410,28,282776
Mexico,40186,1862,4220,26990,8976,378,294,142204
Chile,37040,2659,368,15655,21017,663,22,325417
Pakistan,35788,490,770,9695,25323,111,9,330750
Ecuador,30486,0,2334,3433,24719,190,0,87036
Switzerland,30463,50,1872,27100,1491,79,2,328163
Sweden,28582,673,3529,4971,20082,351,69,177500
Portugal,28319,187,1184,3198,23937,108,9,582341
Qatar,28272,1733,14,3356,24902,72,0,143938
Belarus,26772,947,151,8168,18453,92,5,308156
Singapore,26098,752,21,4809,21268,20,0,224262
Ireland,23401,0,1497,19470,2434,69,0,258808
UAE,21084,698,208,6930,13946,1,2,1560923
Bangladesh,18863,1041,283,3361,15219,1,14,151930
Poland,17615,411,883,6696,10036,160,22,554357
Ukraine,16847,422,456,4143,12248,222,17,202495
Israel,16567,19,264,12364,3939,62,0,485922
Romania,16247,245,1046,9053,6148,225,10,286217
Austria,16058,61,626,14405,1027,54,2,344606
Japan,16049,0,678,8920,6451,243,0,223667
