country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1555447,11011,94150,373500,1087797,17583,960,0
Europe,1695840,20098,157185,700656,837999,13237,1423,0
South America,340873,5249,18322,120879,201672,10109,214,0
Asia,718809,17277,23201,405465,290143,4951,350,0
Africa,72088,1106,2446,25447,44195,216,39,0
Oceania,8581,16,119,7771,691,20,1,0
0,721,0,15,651,55,4,0,0
World,4392359,54757,295438,1634369,2462552,46120,2987,0
USA,1416716,8080,83973,300299,1032444,16406,548,10027852
Spain,271095,1575,27104,183227,60764,1534,184,2467761
Russia,242271,10028,2212,48003,192056,2300,96,5982558
UK,229705,3242,33186,0,196175,1559,494,2094209
Italy,222104,888,31106,112541,78457,893,195,2735628
Brazil,180049,2447,12599,72597,94853,8318,195,735224
France,178225,0,26991,57785,93449,2542,0,1384633
Germany,173647,476,7788,148700,17159,1539,50,2755770
Turkey,143114,1639,3952,101715,37447,998,58,1474003
Iran,112725,1958,6783,89428,16514,2735,50,629534
India,77889,3597,2546,26186,49157,0,131,1854250
Peru,72059,0,2057,23324,46678,797,0,532169
Canada,71486,329,5209,34496,31781,502,40,1145683
Belgium,53981,202,8843,13937,31201,420,82,605237
Saudi Arabia,44830,1905,273,17622,26935,147,9,496948
Netherlands,43211,227,5562,0,37399,432,52,275720
Mexico,38324,1997,3926,25935,8463,378,353,142204
Chile,34381,2660,346,14865,19170,494,11,313750
Pakistan,34336,1662,737,8812,24787,111,13,317699
Ecuador,30419,0,2327,3433,24659,181,0,85223
Switzerland,30413,33,1870,26800,1743,79,3,322084
Portugal,28132,219,1175,3182,23775,103,12,566172
Sweden,27909,637,3460,4971,19478,351,147,177500
Qatar,26539,1390,14,3143,23382,72,0,139127
Belarus,25825,952,146,7711,17968,92,4,296380
Singapore,25346,675,21,4809,20516,19,0,224262
Ireland,23242,0,1488,17110,4644,72,0,258808
UAE,19661,0,203,6012,13446,1,0,1500000
Bangladesh,17822,1162,269,3361,14192,1,19,144538
Poland,17204,283,861,6410,9933,160,22,528122
Israel,16539,10,262,12173,4104,61,2,477151
Ukraine,16425,402,439,3716,12270,218,14,192247
Romania,16002,224,1016,7961,7025,228,14,277804
Austria,15997,36,624,14304,1069,55,1,336252
Japan,15968,0,657,8531,6780,249,0,223649
Indonesia,15438,689,1028,3287,11123,0,21,169195
Colombia,12272,0,493,2971,8808,130,0,165738
Philippines,11618,268,772,2251,8595,77,21,188649
South Africa,11350,0,206,4357,6787,77,0,369697
Dominican Republic,11196,296,409,3221,7566,131,7,42615
Kuwait,11028,751,82,3263,7683,169,7,227000
S. Korea,10962,26,259,9695,1008,55,1,695920
Denmark,10667,76,533,8663,1471,37,6,345712
Egypt,10431,338,556,2486,7389,41,12,90000
Serbia,10295,52,222,3824,6249,22,2,156603
Panama,8783,167,252,6021,2510,87,3,44561
Czechia,8240,42,288,5043,2909,43,5,326954
Norway,8168,11,229,32,7907,23,1,208874
Australia,6980,16,98,6271,611,17,1,909025
Malaysia,6779,37,111,5281,1387,16,2,271721
Argentina,6563,0,321,2266,3976,170,2,90474
Morocco,6512,94,188,3131,3193,1,0,75870
Algeria,6253,186,522,3058,2673,22,7,6500
Finland,6054,51,284,4300,1470,35,9,133200
Bahrain,5780,249,9,2195,3576,7,0,202967
Kazakhstan,5417,138,32,2408,2977,31,0,439495
Moldova,5406,252,185,2176,3045,251,3,20447
Afghanistan,5226,263,132,648,4446,7,5,18724
Ghana,5127,0,22,494,4611,5,0,162184
Nigeria,4787,0,158,959,3670,7,0,28418
Oman,4019,298,17,1289,2713,27,0,50000
Luxembourg,3904,10,103,3629,172,22,1,57687
Armenia,3718,180,48,1500,2170,10,1,34766
Hungary,3341,28,430,1102,1809,45,5,118500
Iraq,3032,119,115,1966,951,0,3,136640
Thailand,3017,0,56,2844,117,61,0,286008
Bolivia,2964,133,128,313,2523,3,6,7651
Greece,2760,16,155,1374,1231,28,3,112042
Azerbaijan,2758,65,35,1789,934,30,2,208546
Cameroon,2689,0,125,1524,1040,28,0,0
Uzbekistan,2568,49,11,2040,517,8,1,325000
Guinea,2298,0,11,816,1471,0,0,0
Croatia,2213,6,94,1834,285,9,3,48737
Bosnia and Herzegovina,2181,23,120,1228,833,4,3,44380
Senegal,2105,110,21,782,1302,6,2,24599
Honduras,2080,0,121,211,1748,10,5,5653
Bulgaria,2069,46,96,499,1474,51,1,60100
Ivory Coast,1857,0,21,820,1016,0,0,14618
Cuba,1810,6,79,1326,405,7,1,73129
Iceland,1802,1,10,1780,12,0,0,55075
Estonia,1751,5,61,777,913,5,0,66102
North Macedonia,1694,20,95,1229,370,21,3,19739
Sudan,1661,0,80,173,1408,0,0,0
Lithuania,1505,14,54,908,543,17,4,200264
New Zealand,1497,0,21,1402,74,2,0,203045
Slovakia,1469,4,27,1060,382,6,0,127034
Slovenia,1463,2,103,260,1100,9,1,65694
Djibouti,1268,12,3,900,365,0,0,16424
Somalia,1219,49,52,130,1037,2,0,0
Guatemala,1199,85,27,120,1052,5,1,7200
DRC,1169,67,50,148,971,0,6,0
Mayotte,1143,48,14,627,502,6,2,4800
Hong Kong,1051,3,4,1008,39,1,0,168291
Kyrgyzstan,1044,7,12,726,306,13,0,59490
El Salvador,1037,39,20,374,643,15,0,46831
Tunisia,1032,0,45,740,247,5,0,33880
Latvia,951,1,19,627,305,2,1,81246
Cyprus,905,2,16,449,440,10,0,78338
Maldives,904,0,3,29,872,2,0,11775
Sri Lanka,893,4,9,382,502,1,0,38740
Albania,880,4,31,688,161,1,0,11048
Lebanon,878,8,26,236,616,3,0,54694
Gabon,863,0,9,137,717,1,0,5530
Niger,854,0,47,648,159,0,0,5642
Guinea-Bissau,820,0,3,26,791,0,0,1500
Costa Rica,804,0,7,520,277,6,0,17470
Tajikistan,801,72,23,0,778,0,2,0
Burkina Faso,766,0,51,588,127,0,0,0
Andorra,760,2,49,576,135,3,1,1673
