country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1749084,12988,107020,460476,1181588,18412,1078,0
Europe,1830038,14600,165740,811061,853237,10997,1166,0
South America,495545,7888,25676,178073,291796,10627,198,0
Asia,863551,22429,25849,499552,338150,4989,349,0
Africa,95163,1935,2963,38032,54168,287,39,0
Oceania,8686,11,121,7992,573,10,0,0
0,721,0,15,651,55,4,0,0
World,5042788,59851,327384,1995837,2719567,45326,2830,0
USA,1579194,8611,94149,364683,1120362,17249,616,12799877
Russia,308705,8764,2972,85392,220341,2300,135,7578029
Spain,279524,721,27888,196958,54678,1152,110,3037840
Brazil,275382,3497,18130,106794,150458,8318,147,735224
UK,248818,0,35704,0,0,1559,363,2962227
Italy,227364,665,32330,132282,62752,676,161,3171719
France,180809,0,28132,63354,89323,1794,110,1384633
Germany,178170,343,8213,156900,13057,1115,20,3595059
Turkey,152587,972,4222,113987,34378,877,23,1696355
Iran,126949,2346,7183,98808,20958,2735,64,731213
India,112012,5537,3434,45422,63156,0,132,2512388
Peru,99483,0,2914,36524,60045,883,0,679582
Canada,80081,969,6027,40670,33384,502,115,1339971
Saudi Arabia,62545,2691,339,33478,28728,251,10,618084
Belgium,55983,192,9150,14847,31986,313,42,720228
Mexico,54346,2713,5666,37325,11355,378,334,185755
Chile,53617,4038,544,22504,30569,904,35,409669
Pakistan,45898,1932,985,13101,31812,111,46,414254
Netherlands,44447,198,5748,0,0,275,33,302395
Qatar,37097,1491,16,6600,30481,172,1,170437
Ecuador,34151,0,2839,3457,27855,221,0,98171
Belarus,32426,918,179,11415,20832,92,4,387673
Sweden,31523,724,3831,4971,22721,352,88,209900
Switzerland,30658,40,1892,27800,966,55,1,355393
Portugal,29660,228,1263,6452,21945,93,16,674000
Singapore,29364,570,22,11207,18135,11,0,294414
Bangladesh,26738,1617,386,5207,21145,1,16,203852
UAE,26004,941,233,11809,13962,1,6,1600923
Ireland,24315,64,1571,19470,3274,54,10,295626
Poland,19739,471,962,8183,10594,160,14,674861
Ukraine,19230,354,564,5955,12711,245,16,248529
Indonesia,19189,693,1242,4575,13372,0,21,211883
Kuwait,17568,804,124,4885,12559,167,3,256314
Romania,17387,196,1147,10356,5884,198,10,332487
South Africa,17200,0,312,7960,8928,119,0,488609
Colombia,16935,0,613,4050,12272,136,0,201808
Israel,16667,8,279,13504,2884,48,1,522632
Japan,16367,0,768,11564,4035,213,0,255675
Austria,16353,32,633,14882,838,37,1,379592
Egypt,14229,745,680,3994,9555,41,21,135000
Dominican Republic,13477,254,446,7142,5889,126,5,59976
Philippines,13221,279,842,2932,9447,81,5,244800
Denmark,11117,73,554,9536,1027,25,3,490782
S. Korea,11110,32,263,10066,781,15,0,776433
Serbia,10833,100,235,5067,5531,13,1,196881
Panama,9867,0,281,6194,3392,72,0,51815
Argentina,8809,0,394,2933,5482,154,1,112370
Czechia,8698,51,304,5818,2576,36,2,372341
Norway,8281,14,234,32,8015,17,1,223045
Afghanistan,8145,492,187,930,7028,19,9,25700
Bahrain,7843,311,12,3334,4497,9,0,254335
Algeria,7542,165,568,3968,3006,22,7,0
Morocco,7133,110,194,4098,2841,1,1,104915
Australia,7079,11,100,6444,535,9,0,1111567
Malaysia,7009,31,114,5706,1189,11,0,471318
Kazakhstan,6969,218,35,3649,3285,31,0,571547
Moldova,6553,213,228,2953,3372,251,7,40565
Finland,6443,44,304,5000,1139,20,3,156200
Nigeria,6401,0,192,1734,4475,7,0,36899
Ghana,6096,0,31,1773,4292,8,0,184343
Oman,6043,372,29,1661,4353,31,2,72000
Armenia,5271,230,67,2419,2785,10,3,44071
Bolivia,4481,218,189,533,3759,3,15,14803
Luxembourg,3971,13,109,3728,134,6,0,64018
Iraq,3724,113,134,2438,1152,0,3,149701
Azerbaijan,3631,113,43,2253,1335,46,2,245609
Hungary,3598,42,470,1454,1674,29,3,142729
Cameroon,3529,0,140,1567,1822,28,0,0
Thailand,3034,1,56,2888,90,61,0,328073
Honduras,2955,157,147,349,2459,13,1,10775
Uzbekistan,2939,84,13,2372,554,6,0,460000
Guinea,2863,0,18,1525,1320,18,0,10304
Greece,2850,10,166,1374,1310,22,1,139445
Sudan,2728,0,111,286,2331,0,0,281
Senegal,2714,97,30,1186,1498,6,0,24599
Bosnia and Herzegovina,2338,17,136,1557,645,4,2,55624
Bulgaria,2292,33,116,684,1492,33,4,68243
Croatia,2234,2,96,1978,160,8,0,57021
Ivory Coast,2153,0,28,1050,1075,0,0,19174
Tajikistan,2140,204,41,641,1458,0,0,0
Guatemala,2133,132,43,155,1935,5,5,20820
Cuba,1900,13,79,1573,248,8,0,87288
North Macedonia,1858,19,110,1367,381,21,4,22767
Djibouti,1828,210,9,1052,767,0,2,20056
Iceland,1803,1,10,1789,4,0,0,57628
Estonia,1794,3,64,956,774,2,0,72464
DRC,1731,102,61,302,1368,0,0,0
Lithuania,1577,15,60,1049,468,17,0,245580
Somalia,1573,71,61,188,1324,2,2,0
El Salvador,1571,73,31,531,1009,27,1,62838
New Zealand,1503,0,21,1447,35,1,0,238725
Gabon,1502,0,12,318,1172,9,0,7966
Slovakia,1496,1,28,1231,237,3,0,148845
Mayotte,1475,105,19,894,562,11,1,5200
Slovenia,1468,1,105,1340,23,4,1,73319
Kyrgyzstan,1270,27,14,910,346,5,0,94441
Maldives,1186,43,4,91,1091,9,0,11775
Hong Kong,1056,0,4,1026,26,1,0,168291
Tunisia,1044,1,47,826,171,3,1,41620
Guinea-Bissau,1038,0,6,42,990,0,0,1500
Kenya,1029,66,50,366,613,1,0,49405
Sri Lanka,1027,4,9,584,434,1,0,46413
Latvia,1016,4,21,694,301,3,0,92751
Albania,964,15,31,758,175,1,0,12555
Lebanon,961,7,26,251,684,4,0,65363
Cyprus,922,4,17,516,389,10,0,90718
Niger,914,0,55,734,125,0,0,5909
Mali,901,0,53,529,319,0,0,3483
Costa Rica,882,0,10,577,295,5,0,20741
Paraguay,833,4,11,242,580,0,0,21542
Zambia,832,60,7,197,628,1,0,19014
Equatorial Guinea,825,0,7,22,796,0,0,854
Burkina Faso,809,13,52,661,96,0,1,0
Andorra,761,0,51,628,82,3,0,3750
Venezuela,749,131,10,253,486,1,0,616562
Uruguay,738,0,20,579,139,4,0,34794
Georgia,713,6,12,475,226,6,0,40711
Diamond Princess,712,0,13,651,48,4,0,0
Jordan,672,23,9,446,217,5,0,148482
San Marino,656,1,41,220,395,1,0,3700
Haiti,596,63,22,21,553,0,1,2270
Malta,584,15,6,465,113,1,0,54866
Palestine,577,186,2,346,229,0,0,44876
Sierra Leone,570,36,34,205,331,0,1,0
Chad,565,20,57,177,331,0,1,0
Channel Islands,555,0,44,479,32,0,0,5342
Jamaica,520,0,9,145,366,0,0,8828
Tanzania,509,0,21,183,305,7,0,0
Réunion,447,1,1,411,35,2,1,17200
Taiwan,440,0,7,402,31,0,0,69876
Nepal,427,25,2,45,380,1,0,110566
Congo,420,0,15,132,273,0,0,0
Ethiopia,389,24,5,122,262,0,0,65760
Madagascar,371,45,2,131,238,0,0,5670
CAR,366,0,0,18,348,0,0,3498
Cabo Verde,349,14,3,85,261,0,0,892
Togo,338,0,12,107,219,0,0,13825
Isle of Man,336,1,24,302,10,4,0,4262
Mauritius,332,0,10,322,0,0,0,95666
Montenegro,324,0,9,312,3,2,0,10167
Vietnam,324,0,0,263,61,2,0,275000
Rwanda,314,6,0,216,98,0,0,53317
South Sudan,290,0,4,4,282,0,0,3356
Uganda,264,4,0,65,199,0,0,77456
Nicaragua,254,0,17,199,38,0,0,0
Sao Tome and Principe,251,0,8,4,239,0,0,175
Liberia,238,5,23,128,87,0,0,0
French Guiana,218,0,1,136,81,0,0,0
Eswatini,208,0,2,87,119,0,0,4160
Myanmar,193,0,6,104,83,0,0,15137
Martinique,192,0,14,91,87,0,0,0
Faeroe Islands,187,0,0,187,0,0,0,8986
Yemen,184,17,30,5,149,0,2,120
Mozambique,156,10,0,48,108,0,0,6769
Guadeloupe,155,0,13,109,33,3,0,2866
Gibraltar,149,2,0,145,4,0,0,5615
Brunei,141,0,1,136,4,2,0,17718
Mongolia,140,0,0,26,114,27,0,11641
Mauritania,131,0,4,7,120,0,0,2583
Benin,130,0,2,83,45,0,0,25471
Guyana,125,0,10,46,69,3,0,1269
Bermuda,125,0,9,78,38,2,0,5705
Cambodia,122,0,0,122,0,0,0,15572
Trinidad and Tobago,116,0,8,107,1,0,0,2727
Cayman Islands,111,0,1,55,55,0,0,7082
Aruba,101,0,3,95,3,4,0,2025
Monaco,97,0,4,90,3,1,0,0
Bahamas,96,0,11,43,42,1,0,1826
Barbados,90,2,7,68,15,4,0,4167
Liechtenstein,82,0,1,55,26,0,0,900
Sint Maarten,77,0,15,54,8,7,0,414
Malawi,71,1,3,27,41,1,0,1803
Libya,69,1,3,35,31,0,0,3633
French Polynesia,60,0,0,60,0,0,0,3496
Syria,58,0,3,36,19,0,0,0
Angola,52,0,3,17,32,0,0,6136
Zimbabwe,46,0,4,18,24,0,0,28019
Macao,45,0,0,45,0,0,0,0
Burundi,42,0,1,20,21,0,0,284
Saint Martin,40,1,3,33,4,1,0,0
Eritrea,39,0,0,39,0,0,0,0
Comoros,34,23,1,8,25,0,0,0
Antigua and Barbuda,25,0,3,19,3,1,0,183
Botswana,25,0,1,17,7,0,0,13294
Gambia,24,0,1,13,10,0,0,1476
Timor-Leste,24,0,0,24,0,0,0,738
Grenada,22,0,0,14,8,4,0,2419
Bhutan,21,0,0,5,16,0,0,14294
Laos,19,0,0,14,5,0,0,4743
Belize,18,0,2,16,0,0,0,1363
Fiji,18,0,0,15,3,0,0,1300
New Caledonia,18,0,0,18,0,0,0,5454
Saint Lucia,18,0,0,18,0,0,0,786
St. Vincent Grenadines,17,0,0,14,3,0,0,175
Curaçao,16,0,1,14,1,0,0,485
Dominica,16,0,0,16,0,0,0,433
Namibia,16,0,0,14,2,0,0,2586
Saint Kitts and Nevis,15,0,0,15,0,0,0,391
Falkland Islands,13,0,0,13,0,0,0,426
Turks and Caicos,12,0,1,10,1,0,0,109
Vatican City,12,0,0,2,10,0,0,0
Montserrat,11,0,1,10,0,0,0,36
Suriname,11,0,1,9,1,0,0,404
Greenland,11,0,0,11,0,0,0,1767
Seychelles,11,0,0,11,0,0,0,0
MS Zaandam,9,0,2,0,7,0,0,0
British Virgin Islands,8,0,1,6,1,0,0,167
Papua New Guinea,8,0,0,8,0,0,0,2402
Caribbean Netherlands,6,0,0,6,0,0,0,357
St. Barth,6,0,0,6,0,0,0,0
Western Sahara,6,0,0,6,0,0,0,0
Anguilla,3,0,0,3,0,0,0,0
Lesotho,1,0,0,0,1,0,0,0
Saint Pierre Miquelon,1,0,0,1,0,0,0,0
China,82965,5,4634,78244,87,9,0,0
