country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1334013,14976,78315,239853,1015845,17415,1541,0
Europe,1492320,22409,143770,566947,781603,16775,1627,0
Asia,584022,11183,20304,314307,249411,5281,226,0
South America,226127,1853,11303,78697,136127,9944,35,0
Africa,49263,1188,1892,16748,30623,129,44,0
Oceania,8437,23,116,7283,1038,29,1,0
0,721,0,15,645,61,4,0,0
World,3694903,51632,255715,1224480,2214708,49577,3474,0
USA,1224570,11735,71148,192177,961245,16168,1227,7599814
Spain,250561,2260,25613,154718,70230,2254,185,1932455
Italy,213013,1075,29315,85231,98467,1427,236,2246666
UK,194990,4406,29427,0,165219,1559,693,1291591
France,169462,0,25201,51371,92890,3696,0,1100228
Germany,166490,338,6993,135100,24397,1937,0,2547052
Russia,155370,10102,1451,19865,134054,2300,95,4460357
Turkey,129491,1832,3520,73285,52686,1338,59,1204421
Brazil,108620,354,7367,45815,55438,8318,24,339552
Iran,99970,1323,6340,80475,13155,2685,63,519543
Canada,61959,1187,4036,26650,31273,557,182,919368
Belgium,50509,242,8016,12441,30052,646,92,456194
Peru,47372,0,1344,14427,31601,694,0,385492
India,46476,39,1571,12849,32056,0,5,1191946
Netherlands,41087,317,5168,0,35669,644,86,235909
Ecuador,31881,0,1569,3433,26879,159,0,80171
Saudi Arabia,30251,1595,200,5431,24620,143,9,376607
Switzerland,30009,28,1795,25200,3014,121,11,286403
Portugal,25702,178,1074,1743,22885,134,11,450000
Mexico,24905,1434,2271,15938,6696,378,117,100041
Sweden,23216,495,2854,4074,16288,435,85,148500
Pakistan,22049,1108,514,5801,15734,111,38,222404
Chile,22016,1373,275,10710,11031,470,5,222095
Ireland,21983,211,1339,13386,7258,93,20,214761
Singapore,19410,632,18,1519,17873,24,0,143919
Belarus,18350,861,107,3771,14472,92,4,211369
Qatar,17142,951,12,1924,15206,72,0,109762
Israel,16268,22,237,10223,5808,89,2,417100
Austria,15650,29,606,13462,1582,104,6,285883
UAE,15192,462,146,3153,11893,1,9,1200000
Japan,15078,0,536,4156,10386,328,0,184586
Poland,14431,425,716,4280,9435,160,18,394270
Romania,13837,325,841,5454,7542,244,23,205842
Ukraine,12697,366,316,1875,10506,167,13,139759
Indonesia,12071,484,872,2197,9002,0,8,121547
Bangladesh,10929,786,183,1403,9343,1,1,93405
S. Korea,10804,3,254,9283,1267,55,2,640237
Denmark,9821,151,503,7296,2022,49,10,257738
Philippines,9684,199,637,1408,7639,31,14,130889
Serbia,9677,120,200,1723,7754,51,3,111278
Dominican Republic,8480,245,354,1905,6221,144,8,33377
Colombia,7973,0,358,1807,5808,120,0,123029
Norway,7928,24,215,32,7681,27,1,189657
Czechia,7878,59,254,3999,3625,59,2,269093
Panama,7387,190,203,726,6458,93,3,35556
South Africa,7220,0,138,2746,4336,36,0,257541
Egypt,7201,388,452,1730,5019,0,16,90000
Australia,6849,24,96,5889,864,27,1,664756
Malaysia,6383,30,106,4567,1710,24,1,213220
Kuwait,5804,526,40,2032,3732,90,0,196397
Finland,5412,85,246,3500,1666,48,6,106300
Morocco,5219,166,181,1838,3200,1,2,49570
Argentina,4887,0,260,1442,3185,157,0,69718
Algeria,4838,190,470,2067,2301,22,5,6500
Moldova,4363,115,136,1544,2683,237,4,20447
Kazakhstan,4205,156,29,1279,2897,40,0,320411
Luxembourg,3840,12,96,3412,332,22,0,49299
Bahrain,3679,146,8,1762,1909,1,0,149586
Afghanistan,3224,330,95,421,2708,7,5,13076
Hungary,3065,30,363,709,1993,55,12,85557
Thailand,2988,1,54,2747,187,61,0,227860
Nigeria,2802,0,93,417,2292,4,0,19512
Oman,2735,98,12,858,1865,17,0,40459
Ghana,2719,0,18,294,2407,4,0,129461
Greece,2642,10,146,1374,1122,35,0,83750
Armenia,2619,112,40,1111,1468,10,1,25846
Iraq,2431,85,102,1571,758,0,4,113484
