country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1125477,6363,65010,177362,883105,20376,746,0
Europe,1341306,18600,127949,478305,735052,24374,1527,0
Asia,501834,7060,18074,248900,234860,5830,164,0
South America,156112,909,7599,54671,93842,9726,31,0
Oceania,8322,10,108,6974,1240,41,1,0
Africa,36476,798,1548,12324,22604,120,21,0
0,721,0,15,645,61,4,0,0
World,3170248,33740,220303,979181,1970764,60471,2490,0
USA,1040233,4468,59819,143302,837112,19110,553,5974435
Spain,236899,4771,24275,132929,79695,7764,453,1414477
Italy,203591,2086,27682,71252,104657,1795,323,1910761
France,166420,509,24087,48228,94105,4207,427,463662
UK,161145,0,21678,0,139123,1559,0,763387
Germany,160479,567,6374,120400,33705,2409,60,2072669
Turkey,114653,0,2992,38809,72852,1621,0,948115
Russia,99399,5841,972,10286,88141,2300,105,3303717
Iran,93657,1073,5957,73791,13909,2965,80,453386
Brazil,73235,336,5083,32544,35608,8318,20,339552
Canada,50373,347,2904,19190,28279,557,45,754800
Belgium,47859,525,7501,11283,29075,797,170,226724
Netherlands,38802,386,4711,0,33841,804,145,213372
India,31787,463,1008,7796,22983,0,0,770764
Peru,31190,0,854,9179,21157,600,0,267612
Switzerland,29407,143,1703,22600,5104,185,4,260500
Portugal,24505,183,973,1470,22062,169,25,379551
Ecuador,24258,0,871,1557,21830,146,0,61529
Saudi Arabia,21402,1325,157,2953,18292,125,5,200000
Sweden,20302,681,2462,1005,16835,479,107,119500
Ireland,19877,0,1159,9233,9485,141,0,153954
Mexico,16752,1223,1569,11423,3760,378,135,77005
Israel,15782,54,212,7929,7641,120,2,313135
Singapore,15641,690,14,1188,14439,22,0,143919
Austria,15402,45,580,12779,2043,131,11,247754
Pakistan,15289,677,335,3425,11529,111,23,165911
Chile,14885,520,216,8057,6612,377,9,172619
Japan,13736,0,394,1899,11443,300,0,160546
Belarus,13181,973,84,2072,11025,92,5,168986
Poland,12640,422,624,3025,8991,160,28,324527
Qatar,12564,643,10,1243,11311,72,0,91415
Romania,11978,362,685,3569,7724,247,22,166993
UAE,11380,0,89,2181,9110,1,0,1122000
S. Korea,10761,9,246,8922,1593,55,2,614197
Ukraine,9866,456,250,1103,8513,129,11,104544
Indonesia,9771,260,784,1391,7596,0,11,86985
Denmark,9008,157,443,6366,2199,66,9,180062
Serbia,8724,227,173,1292,7259,78,5,78942
Philippines,8212,254,558,1023,6631,31,28,98941
Norway,7680,20,207,32,7441,40,1,169124
Czechia,7563,59,227,3096,4240,71,0,234985
Bangladesh,7103,641,163,150,6790,1,8,59701
Australia,6746,8,89,5667,990,38,1,544410
Dominican Republic,6416,0,286,1165,4965,144,0,23979
Panama,6200,179,176,484,5540,89,9,28795
Colombia,5949,0,269,1268,4412,118,0,90899
Malaysia,5945,94,100,4087,1758,40,0,154203
Egypt,5042,0,359,1304,3379,0,0,90000
South Africa,4996,0,93,2073,2830,36,0,185497
Finland,4906,166,206,2800,1900,51,7,89800
Morocco,4289,37,167,890,3232,1,2,32076
Argentina,4127,0,207,1192,2728,144,0,56058
Algeria,3848,199,444,1702,1702,22,7,6500
Moldova,3771,133,107,1114,2550,212,4,11763
Luxembourg,3769,28,89,3134,546,21,0,41758
Kuwait,3740,300,24,1389,2327,66,1,179000
Kazakhstan,3105,78,25,798,2282,41,0,232415
Thailand,2947,9,54,2665,228,61,0,178083
Bahrain,2811,0,8,1310,1493,2,0,121706
Hungary,2727,78,300,536,1891,50,9,70300
Greece,2576,10,139,577,1860,41,1,72130
Oman,2274,143,10,364,1900,3,0,0
Croatia,2062,15,67,1288,707,19,4,34476
Uzbekistan,1969,30,8,1066,895,8,0,242536
Afghanistan,1939,111,60,252,1627,7,2,9000
Armenia,1932,65,30,900,1002,10,0,20189
Iraq,1928,0,90,1319,519,0,0,73782
Cameroon,1806,101,59,915,832,12,1,0
Iceland,1797,2,10,1656,131,0,0,47573
Azerbaijan,1766,49,23,1267,476,18,1,137379
Bosnia and Herzegovina,1677,92,65,710,902,4,2,29130
Ghana,1671,0,16,188,1467,4,0,100622
Estonia,1666,6,50,236,1380,10,0,51188
Nigeria,1532,0,44,255,1233,2,0,12828
New Zealand,1474,2,19,1229,226,1,0,128703
Cuba,1467,30,58,617,792,14,0,45344
Bulgaria,1447,48,64,243,1140,38,6,45208
North Macedonia,1442,21,73,627,742,13,2,16050
Slovenia,1418,10,89,230,1099,25,3,51607
Slovakia,1391,7,22,484,885,8,2,81338
Lithuania,1375,31,45,563,767,17,1,118201
Guinea,1240,0,7,269,964,0,0,0
Ivory Coast,1183,0,14,525,644,0,0,0
Djibouti,1077,5,2,599,476,0,0,12985
Bolivia,1053,39,55,110,888,3,2,5791
Hong Kong,1038,0,4,830,204,4,0,145640
Tunisia,975,0,40,279,656,18,0,21477
Senegal,882,59,9,315,558,1,0,466
Latvia,849,13,15,348,486,4,2,54811
Cyprus,843,6,15,148,680,15,0,53219
Albania,766,16,30,455,281,4,0,8028
Andorra,743,0,41,398,304,17,0,1673
Honduras,738,36,66,73,599,10,2,3643
Kyrgyzstan,729,21,8,437,284,10,0,50775
Lebanon,721,4,24,150,547,44,0,32446
Diamond Princess,712,0,13,645,54,4,0,0
Niger,709,0,31,403,275,0,0,5116
Costa Rica,705,0,6,306,393,8,0,12729
Burkina Faso,638,0,42,476,120,0,0,0
Sri Lanka,627,8,7,136,484,2,0,17715
Uruguay,625,5,15,394,216,11,0,18140
Somalia,582,54,28,20,534,2,0,0
San Marino,563,10,41,69,453,6,0,2235
Guatemala,557,27,16,62,479,5,1,7200
Channel Islands,530,0,36,352,142,0,0,5342
Georgia,517,6,6,168,343,6,0,12593
DRC,491,20,30,59,402,0,0,0
