country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
World,4854595,55329,318299,1887024,2649272,43960,1779,0
USA,1535033,7369,91306,351343,1092384,15985,328,11982229
Russia,290678,8926,2722,70209,217747,2300,91,7147014
Spain,277719,0,27650,195945,54124,1152,0,3037840
UK,246406,2711,34796,0,0,1559,160,2682716
Brazil,245595,4515,16370,94122,135103,8318,252,735224
Italy,225886,451,32007,127326,66553,749,99,3041366
France,179569,0,28108,61213,90248,2087,0,1384633
Germany,177182,531,8085,154600,14497,1133,36,3147771
Turkey,150593,1158,4171,111577,34845,903,31,1650135
Iran,122492,2294,7057,95661,19774,2294,69,701640
India,100340,4642,3155,39231,57954,0,130,2302792
Peru,92273,0,2648,28621,61004,850,0,650613
Canada,78017,1015,5839,39127,33051,502,57,1312613
Saudi Arabia,57345,2593,320,28748,28277,237,8,601954
Belgium,55559,279,9080,14657,31822,342,28,696840
Mexico,49219,2075,5177,33329,10713,378,132,172294
Chile,46059,2278,478,20165,25416,807,28,381011
Netherlands,44141,146,5694,0,0,323,14,297347
Pakistan,42125,1974,903,11922,29300,111,30,387335
Qatar,33969,1365,15,4899,29055,172,0,161695
Ecuador,33182,0,2736,3433,27013,189,0,95047
Switzerland,30597,10,1886,27500,1211,57,5,345760
Belarus,30572,922,171,10130,20271,92,6,364319
Sweden,30377,234,3698,4971,21708,287,19,177500
Portugal,29209,173,1231,6430,21548,105,13,652497
Singapore,28343,305,22,9835,18486,12,0,246254
Ireland,24200,88,1547,19470,3183,54,4,258808
Bangladesh,23870,1602,349,4585,18936,1,21,185086
UAE,23358,0,220,8512,14626,1,0,1600923
Poland,18885,356,936,7628,10321,160,11,636046
Ukraine,18616,325,535,5276,12805,240,21,232899
Indonesia,18010,496,1191,4324,12495,0,43,190660
Romania,17036,165,1120,9930,5986,193,13,313621
Israel,16643,26,276,13253,3114,52,4,505702
Japan,16285,0,744,11153,4388,230,0,244452
Austria,16269,27,629,14614,1026,45,0,366069
Kuwait,15691,841,118,4339,11234,161,6,248314
Colombia,15574,0,574,3751,11249,136,0,190114
South Africa,15515,0,264,7006,8245,119,0,460873
Egypt,12764,535,645,3440,8679,41,15,135000
Dominican Republic,12725,411,434,6613,5678,127,6,50108
