country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1099495,8699,62108,170600,866787,15412,559,0
Europe,1317562,16291,125268,457978,734316,24858,1271,0
Asia,492518,9292,17830,244857,229831,5833,242,0
South America,146506,2332,6873,52029,87604,9773,143,0
Oceania,8305,14,103,6918,1284,45,1,0
Africa,34883,847,1510,11006,22367,138,42,0
0,721,0,15,645,61,4,0,0
World,3099990,37475,213707,944033,1942250,56063,2258,0
USA,1017155,6799,57203,139927,820025,14145,406,5763128
Spain,232128,2706,23822,123903,84403,7764,301,1345560
Italy,201505,2091,27359,68941,105205,1863,382,1846934
France,165842,0,23293,45513,97036,4608,0,463662
Germany,159137,379,6174,117400,35563,2409,48,2072669
UK,157149,0,21092,0,135713,1559,0,719910
Turkey,114653,2392,2992,38809,72852,1621,92,948115
Russia,93558,6411,867,8456,84235,2300,73,3139258
Iran,92584,1112,5877,72439,14268,2983,71,442590
Brazil,68188,1687,4674,31142,32372,8318,131,339552
Canada,49025,525,2766,18268,27991,557,59,740859
Belgium,47334,647,7331,10943,29060,876,124,220204
Netherlands,38416,171,4566,0,33600,861,48,209726
India,29451,0,939,7137,21375,0,0,716733
Switzerland,29264,100,1699,22200,5365,185,34,256500
Peru,28699,0,782,8425,19492,598,0,239563
Portugal,24322,295,948,1389,21985,172,20,360155
Ecuador,23240,0,663,1557,21020,146,0,61529
Saudi Arabia,20077,1266,152,2784,17141,118,8,200000
Ireland,19648,0,1102,9233,9313,146,0,127319
Sweden,19621,695,2355,1005,16261,524,81,119500
Israel,15589,34,208,7375,8006,117,4,302691
Mexico,15529,852,1434,9086,5009,378,83,71103
Austria,15357,83,569,12580,2208,140,20,239578
Singapore,14951,528,14,1128,13809,20,0,121774
Pakistan,14514,599,312,3233,10969,111,20,157223
Chile,14365,552,207,7710,6448,426,9,166165
Japan,13614,0,385,1899,11330,300,0,150692
Poland,12218,316,596,2655,8967,160,34,310744
Belarus,12208,919,79,1993,10136,92,4,161028
Qatar,11921,677,10,1134,10777,72,0,88607
Romania,11616,277,663,3404,7549,243,22,150309
UAE,11380,541,89,2181,9110,1,7,1057326
S. Korea,10752,14,244,8854,1654,55,1,608514
Indonesia,9511,415,773,1254,7484,0,8,79618
Ukraine,9410,401,239,992,8179,121,19,98719
Denmark,8851,153,434,6121,2296,66,7,166846
Serbia,8497,222,168,1260,7069,79,6,73363
Philippines,7958,181,530,975,6453,31,19,89889
Norway,7619,20,206,32,7381,44,1,165951
Czechia,7486,41,225,2942,4319,73,2,226255
Australia,6731,11,84,5626,1021,42,1,530679
Bangladesh,6462,549,155,139,6168,1,3,54733
Dominican Republic,6416,123,286,1165,4965,144,4,23979
Panama,6021,242,167,455,5399,89,2,27834
Malaysia,5851,31,100,4032,1719,36,1,152142
Colombia,5597,0,253,1210,4134,118,0,90899
Egypt,5042,260,359,1304,3379,0,22,90000
South Africa,4793,0,90,1473,3230,36,0,178470
Finland,4740,45,199,2800,1741,56,6,85800
Morocco,4252,132,165,778,3309,1,3,32250
Argentina,4003,0,197,1140,2666,144,0,51900
Luxembourg,3741,12,89,3123,529,19,1,39741
Algeria,3649,132,437,1651,1561,40,5,6500
Moldova,3638,157,103,975,2560,212,1,11763
Kuwait,3440,152,23,1176,2241,67,1,179000
Kazakhstan,3019,184,25,754,2240,41,0,216276
Thailand,2938,7,54,2652,232,61,2,178083
Bahrain,2810,87,8,1246,1556,2,0,121260
Hungary,2649,66,291,516,1842,49,11,67172
Greece,2566,32,138,577,1851,43,2,69833
Oman,2131,82,10,364,1757,3,0,0
Croatia,2047,8,63,1232,752,21,4,33577
Uzbekistan,1939,35,8,958,973,8,0,242536
Iraq,1928,81,90,1319,519,0,2,73782
Armenia,1867,59,30,866,971,10,1,19296
Afghanistan,1828,125,58,228,1542,7,1,9000
Iceland,1795,3,10,1624,161,1,0,46377
Azerbaijan,1717,39,22,1221,474,15,0,132640
