country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
North America,1419812,10494,85940,273002,1060870,18189,979,0
Europe,1578625,24925,150111,627139,801375,15417,1650,0
South America,273508,5916,14015,94444,165049,9927,432,0
Asia,634154,15650,21483,348511,264160,5126,278,0
Africa,56471,1151,2115,19547,34809,176,32,0
Oceania,8508,19,118,7522,868,25,0,0
0,721,0,15,645,61,4,0,0
World,3971799,58155,273797,1370810,2327192,48864,3371,0
USA,1299912,7289,77562,219485,1002865,17020,634,8380212
Spain,260117,3262,26299,168408,65410,2075,229,1932455
Italy,217185,1327,30201,99023,87961,1168,243,2445063
UK,211364,4649,31241,0,179779,1559,626,1631561
Russia,187859,10699,1723,26608,159528,2300,98,4980000
France,174791,0,25987,55027,93777,2961,0,1384633
Germany,169430,0,7392,141700,20338,1823,0,2755770
Brazil,140023,4330,9600,55350,75073,8318,412,339552
Turkey,135569,1848,3689,86396,45484,1219,48,1298806
Iran,104691,1556,6541,83837,14313,2711,55,558899
Canada,65400,478,4473,29682,31245,502,65,1032088
India,59205,2854,1980,17698,39527,0,91,1437788
Peru,58526,0,1627,18388,38511,722,0,448020
Belgium,52011,591,8521,13201,30289,508,106,515233
Netherlands,42093,319,5359,0,36484,564,71,249655
Saudi Arabia,35432,1701,229,9120,26083,145,10,418722
Ecuador,30298,0,1654,3433,25211,156,0,83218
Switzerland,30207,81,1810,25900,2497,121,0,301675
Mexico,29616,1982,2961,17781,8874,378,257,110916
Portugal,27268,553,1114,2422,23732,127,9,501718
Pakistan,26435,1791,599,7530,18306,111,14,257247
Chile,25972,1391,294,12160,13518,429,9,255961
Sweden,25265,642,3175,4971,17119,425,135,148500
Ireland,22385,0,1403,17110,3872,93,0,214761
Singapore,21707,768,20,2040,19647,22,0,175604
Belarus,21101,933,121,5484,15496,92,5,240146
Qatar,20201,1311,12,2370,17819,72,0,120458
UAE,16793,553,174,3837,12782,1,9,1200000
Israel,16409,28,245,11007,5157,77,5,442925
Austria,15774,22,614,13836,1324,81,5,304069
Japan,15477,0,577,4918,9982,308,0,190030
Poland,15366,319,776,5184,9406,160,21,443506
Romania,14811,312,923,6423,7465,232,35,237280
Ukraine,14195,504,361,2706,11128,178,21,159155
Bangladesh,13134,709,206,2101,10827,1,7,111401
Indonesia,13112,336,943,2494,9675,0,13,143781
S. Korea,10822,12,256,9484,1082,55,0,654863
Philippines,10463,120,696,1734,8033,31,11,151080
Denmark,10218,135,522,7927,1769,43,8,298488
Serbia,9943,95,209,2453,7281,45,3,128805
Colombia,9456,0,407,2300,6749,129,0,135352
Dominican Republic,9376,281,380,2286,6710,134,7,38543
Egypt,8476,495,503,1945,6028,41,21,90000
South Africa,8232,0,161,3153,4918,36,0,292153
Czechia,8065,34,271,4408,3386,258,1,293992
Norway,8055,21,218,32,7805,27,1,195921
Panama,7868,137,225,886,6757,85,7,39093
Kuwait,7208,641,47,2466,4695,91,3,196397
Australia,6914,18,97,6079,738,21,0,757250
Malaysia,6535,68,107,4864,1564,18,0,245102
Finland,5738,65,260,4000,1478,45,5,116500
Morocco,5711,163,186,2324,3201,1,3,59871
Argentina,5371,0,282,1601,3488,148,0,75198
Algeria,5369,187,488,2467,2414,22,5,6500
Kazakhstan,4834,256,31,1631,3172,31,1,371126
Moldova,4728,123,150,1826,2752,237,5,20447
Bahrain,4404,205,8,2027,2369,2,0,170719
Luxembourg,3871,12,100,3526,245,16,0,53257
Afghanistan,3778,215,109,472,3197,7,3,14389
Nigeria,3526,0,107,601,2818,4,0,23835
Hungary,3178,28,392,865,1921,74,9,99058
Oman,3112,154,16,1025,2071,17,1,50000
Ghana,3091,0,18,303,2770,4,0,135902
Armenia,3029,145,43,1218,1768,10,1,29205
Thailand,3000,8,55,2784,161,61,0,227860
Greece,2691,13,150,1374,1167,32,2,94991
Iraq,2603,60,104,1661,838,0,2,122941
Uzbekistan,2325,27,10,1775,540,8,0,325000
Azerbaijan,2279,75,28,1576,675,18,0,181530
Cameroon,2267,0,108,1002,1157,12,0,0
Croatia,2161,36,86,1689,386,13,0,43378
Bolivia,2081,195,102,219,1760,3,11,7651
Bosnia and Herzegovina,2070,43,98,960,1012,4,8,38187
Guinea,1927,0,11,629,1287,0,0,0
Bulgaria,1872,43,86,401,1385,49,2,54328
Iceland,1801,0,10,1765,26,0,0,52745
Cuba,1741,12,74,1078,589,8,1,63560
Estonia,1725,5,56,704,965,4,0,61767
Honduras,1685,224,105,154,1426,10,6,5653
North Macedonia,1586,14,90,1099,397,21,1,18410
Ivory Coast,1571,0,20,742,809,0,0,12312
Senegal,1551,59,13,611,927,6,0,18969
New Zealand,1490,1,21,1347,122,3,0,175835
Slovakia,1455,10,26,905,524,4,0,114461
Slovenia,1450,1,100,252,1098,12,1,59978
Lithuania,1436,3,49,765,622,17,0,172191
Djibouti,1133,0,3,799,331,0,0,14751
Hong Kong,1045,0,4,960,81,1,0,154989
Tunisia,1026,0,44,600,382,22,0,25967
Sudan,930,0,52,92,786,0,0,0
Somalia,928,0,44,106,778,2,0,0
Latvia,928,19,18,464,446,2,0,73016
Kyrgyzstan,906,11,12,650,244,13,0,59490
DRC,897,34,36,119,742,0,0,0
Cyprus,891,2,15,400,476,10,0,72768
Mayotte,854,0,10,352,492,7,0,4000
Albania,850,8,31,620,199,7,0,10044
