country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests
World,4775844,58835,315554,1846226,2614064,44868,2652,0
USA,1519119,11346,90711,342658,1085750,16386,598,12100888
Russia,281752,9709,2631,67373,211748,2300,94,6916088
Spain,277719,1214,27650,195945,54124,1152,87,3037840
UK,243303,3142,34636,0,0,1559,170,2489563
Brazil,233648,506,15668,89672,128308,8318,35,735224
Italy,225435,675,31908,125176,68351,762,145,3004960
France,179569,204,28108,61213,90248,2087,483,1384633
Germany,176639,395,8028,153400,15211,1166,1,3147771
Turkey,149435,1368,4140,109962,35333,914,44,1624994
Iran,120198,1806,6988,94464,18746,2705,51,686935
India,95664,5016,3025,36795,55844,0,154,2227642
Peru,88541,0,2523,28272,57746,840,0,630482
Canada,76944,1080,5781,38463,32700,502,102,1347287
Belgium,55280,291,9052,14630,31598,371,47,682980
Saudi Arabia,54752,2736,312,25722,28718,202,10,586405
Mexico,47144,2112,5045,31848,10251,378,278,163691
Netherlands,43995,125,5680,0,0,346,10,287943
Chile,43781,2353,450,19213,24118,769,29,363496
Pakistan,40151,1352,873,11341,27937,111,39,373410
Ecuador,32763,0,2688,3433,26642,197,0,93344
Qatar,32604,1632,15,4370,28219,165,0,157570
Switzerland,30587,15,1881,27500,1206,69,2,343359
Sweden,30143,466,3679,4971,21493,287,5,177500
Belarus,29650,969,165,9932,19553,92,5,350515
Portugal,29036,226,1218,4636,23182,108,15,618066
Singapore,28038,682,22,9340,18676,16,0,246254
Ireland,24112,64,1543,19470,3099,54,10,258808
UAE,23358,731,220,8512,14626,1,6,1600923
Bangladesh,22268,1273,328,4373,17567,1,14,175228
Poland,18529,272,925,7451,10153,160,10,620249
Ukraine,18291,433,514,5116,12661,238,17,227801
Indonesia,17514,489,1148,4129,12237,0,59,187965
Romania,16871,167,1107,9890,5874,205,13,310407
Israel,16617,10,272,12942,3403,50,4,498711
Austria,16242,41,629,14563,1050,48,0,362509
Japan,16237,0,725,10338,5174,232,0,240368
Colombia,14939,0,562,3587,10790,136,0,190114
Kuwait,14850,1048,112,4093,10645,168,5,244476
South Africa,14355,0,261,6478,7616,119,0,439559
Philippines,12513,208,824,2635,9054,79,7,215060
Dominican Republic,12314,204,428,5847,6039,127,0,50108
Egypt,12229,510,630,3172,8427,41,18,135000
S. Korea,11050,13,262,9888,900,55,0,747653
Denmark,10927,69,547,9227,1153,27,4,455613
Serbia,10610,114,230,4713,5667,18,2,181272
Panama,9449,181,269,6080,3100,72,3,49104
Czechia,8460,5,298,5435,2727,39,2,353186
Norway,8244,7,232,32,7980,20,0,216350
Argentina,7805,0,366,2569,4870,170,3,103220
Australia,7045,9,98,6367,580,16,0,1042126
Algeria,7019,198,548,3507,2964,22,6,6500
Bahrain,6956,209,12,2910,4034,8,0,236828
Malaysia,6894,22,113,5571,1210,13,0,443263
Morocco,6870,129,192,3660,3018,1,0,89957
Afghanistan,6664,262,169,778,5717,19,1,22639
Finland,6347,61,298,5000,1049,30,1,146800
Kazakhstan,6157,307,34,3256,2867,31,0,505216
Moldova,6060,126,211,2344,3505,251,4,20447
Ghana,5735,0,29,1754,3952,5,0,173096
Nigeria,5621,0,176,1472,3973,7,0,32942
Oman,5186,157,22,1465,3699,31,1,61000
Armenia,4472,189,60,1925,2487,10,5,40230
Luxembourg,3945,15,107,3702,136,14,3,62153
Bolivia,3826,249,165,473,3188,3,1,14803
Hungary,3509,36,451,1396,1662,47,3,135137
Iraq,3404,144,123,2218,1063,0,2,149701
Azerbaijan,3274,136,39,2015,1220,37,3,232077
Cameroon,3105,0,140,1567,1398,28,0,0
Thailand,3028,3,56,2856,116,61,0,286008
